at_bats,hits,walks,strikeouts,game_id,team
33,6,3,8,360419105,SEA
31,10,5,4,360419105,CLE
33,8,6,5,360419101,TOR
33,7,2,4,360419101,BAL
43,11,1,12,360419110,OAK
39,8,3,7,360419110,NYY
40,12,3,7,360419122,NYM
34,9,2,7,360419122,PHI
37,6,5,13,360419102,TB
30,1,2,14,360419102,BOS
30,5,4,7,360419115,LAD
34,10,3,4,360419115,ATL
32,5,2,5,360419117,COL
31,9,1,5,360419117,CIN
36,10,3,9,360419128,WSH
31,5,2,11,360419128,MIA
38,10,6,11,360419107,DET
32,9,4,5,360419107,KC
35,8,3,10,360419113,HOU
32,12,3,2,360419113,TEX
29,3,3,7,360419104,LAA
32,9,2,5,360419104,CHW
32,5,6,13,360419124,CHC
32,7,3,11,360419124,STL
37,11,2,11,360419125,PIT
31,9,10,9,360419125,SD
32,8,6,8,360419126,ARI
32,6,4,10,360419126,SF
33,8,4,9,360420117,COL
34,9,0,8,360420117,CIN
32,5,4,8,360420124,CHC
32,9,3,7,360420124,STL
30,4,0,4,360420104,LAA
26,5,4,7,360420104,CHW
31,3,3,9,360420105,SEA
30,4,1,9,360420105,CLE
35,9,2,8,360420107,DET
35,10,3,10,360420107,KC
36,9,7,9,360420101,TOR
34,9,4,7,360420101,BAL
35,11,3,8,360420110,OAK
31,6,3,9,360420110,NYY
46,14,2,17,360420122,NYM
40,10,3,10,360420122,PHI
34,7,2,11,360420102,TB
34,12,3,9,360420102,BOS
38,10,5,9,360420115,LAD
37,7,3,7,360420115,ATL
32,7,2,9,360420128,WSH
29,5,1,6,360420128,MIA
31,7,3,9,360420113,HOU
32,6,3,5,360420113,TEX
37,12,3,9,360420108,MIN
34,13,6,10,360420108,MIL
35,8,5,11,360420125,PIT
33,12,4,6,360420125,SD
32,7,1,8,360420126,ARI
34,7,1,11,360420126,SF
41,15,5,7,360421105,SEA
36,8,6,10,360421105,CLE
40,9,5,10,360421115,LAD
38,11,1,11,360421115,ATL
28,2,1,7,360421128,WSH
30,9,3,5,360421128,MIA
40,15,6,8,360421102,TB
42,15,5,8,360421102,BOS
33,11,9,6,360421108,MIN
32,5,1,9,360421108,MIL
27,6,7,2,360421104,LAA
30,5,4,5,360421104,CHW
35,10,3,3,360421126,ARI
28,3,6,2,360421126,SF
30,4,4,9,360421101,TOR
32,10,6,12,360421101,BAL
35,10,3,8,360421110,OAK
34,8,5,14,360421110,NYY
46,18,6,7,360421117,CHC
25,0,4,6,360421117,CIN
32,5,1,7,360421107,DET
29,10,5,3,360421107,KC
34,7,2,9,360421113,HOU
35,14,1,8,360421113,TEX
38,11,5,7,360421125,PIT
31,5,0,10,360421125,SD
38,11,5,7,400836187,PIT
31,5,0,10,400836187,SD
37,9,3,9,360422110,TB
32,10,3,6,360422110,NYY
36,8,2,9,360422120,MIN
30,9,5,4,360422120,WSH
40,14,2,5,360422114,OAK
32,8,5,7,360422114,TOR
33,6,2,12,360422106,CLE
31,4,1,7,360422106,DET
32,9,5,5,360422117,CHC
30,5,1,5,360422117,CIN
36,10,3,4,360422115,NYM
37,10,2,12,360422115,ATL
29,5,2,6,360422104,TEX
29,7,4,4,360422104,CHW
35,10,1,7,360422108,PHI
33,6,3,9,360422108,MIL
37,15,1,6,360422118,BOS
32,6,7,10,360422118,HOU
32,5,1,12,360422107,BAL
31,8,1,2,360422107,KC
34,8,4,14,360422127,LAD
30,9,3,5,360422127,COL
36,13,2,3,360422129,PIT
41,15,2,4,360422129,ARI
34,10,4,7,360422103,SEA
34,6,1,5,360422103,LAA
34,8,0,7,360422126,MIA
35,14,7,3,360422126,SF
31,6,1,8,360422125,STL
31,9,2,2,360422125,SD
31,6,1,9,360423110,TB
34,7,3,9,360423110,NYY
29,2,4,18,360423120,MIN
30,7,2,4,360423120,WSH
31,7,1,3,360423114,OAK
35,13,2,9,360423114,TOR
41,15,2,3,360423106,CLE
29,2,0,12,360423106,DET
38,7,4,11,360423104,TEX
39,11,7,7,360423104,CHW
35,9,2,9,360423118,BOS
35,12,5,8,360423118,HOU
39,13,6,9,360423108,PHI
34,10,4,12,360423108,MIL
41,15,3,11,360423115,NYM
36,10,0,10,360423115,ATL
35,7,8,8,360423117,CHC
36,15,4,9,360423117,CIN
39,14,4,8,360423107,BAL
34,7,1,6,360423107,KC
36,10,3,8,360423127,LAD
33,6,1,11,360423127,COL
30,4,2,7,360423129,PIT
32,7,5,7,360423129,ARI
40,16,5,4,360423125,STL
29,5,4,4,360423125,SD
31,6,2,8,360423103,SEA
30,7,3,6,360423103,LAA
33,8,1,6,360423126,MIA
31,13,4,6,360423126,SF
39,12,2,16,360424110,TB
32,6,1,8,360424110,NYY
30,5,3,8,360424114,OAK
34,11,5,6,360424114,TOR
35,11,6,5,360424106,CLE
33,7,4,11,360424106,DET
40,15,4,6,360424117,CHC
29,3,2,12,360424117,CIN
28,7,4,7,360424115,NYM
37,12,0,5,360424115,ATL
57,11,3,20,360424120,MIN
60,16,4,12,360424120,WSH
34,8,3,7,360424104,TEX
28,8,5,4,360424104,CHW
34,10,0,9,360424108,PHI
35,12,0,10,360424108,MIL
31,4,2,6,360424107,BAL
33,11,2,4,360424107,KC
33,8,5,6,360424103,SEA
31,6,2,5,360424103,LAA
37,14,3,8,360424126,MIA
36,12,6,7,360424126,SF
37,11,10,6,360424127,LAD
36,11,9,9,360424127,COL
55,20,8,17,360424129,PIT
52,15,8,17,360424129,ARI
41,14,4,8,360424125,STL
36,9,3,10,360424125,SD
49,16,5,7,360424118,BOS
47,11,5,15,360424118,HOU
36,11,5,9,360425114,CHW
39,14,3,9,360425114,TOR
37,10,1,2,360425106,OAK
35,12,1,7,360425106,DET
33,6,3,11,360425115,BOS
30,4,3,10,360425115,ATL
34,8,1,12,360425121,CIN
33,10,3,10,360425121,NYM
32,5,0,11,360425130,BAL
28,5,4,9,360425130,TB
36,10,2,9,360425113,NYY
28,3,2,7,360425113,TEX
37,12,3,10,360425109,CLE
29,5,4,5,360425109,MIN
34,9,2,5,360425127,PIT
35,9,3,9,360425127,COL
35,11,1,5,360425129,STL
40,18,6,4,360425129,ARI
31,4,5,7,360425103,KC
28,8,5,3,360425103,LAA
35,10,2,13,360425112,HOU
26,4,7,4,360425112,SEA
34,8,3,6,360425119,MIA
33,7,2,8,360425119,LAD
37,11,2,14,360425126,SD
34,12,4,9,360425126,SF
33,9,5,10,360426120,PHI
33,7,5,9,360426120,WSH
39,15,3,5,360426114,CHW
30,4,2,9,360426114,TOR
34,10,0,4,360426106,OAK
32,6,0,11,360426106,DET
39,13,3,5,360426115,BOS
35,8,3,14,360426115,ATL
33,10,3,8,360426121,CIN
